i_patient,j_no,U_State_NSCLC,U_State_SCLC,U_NH_acc_factor,U_Next_event1,U_Next_event2
7,2,0.764814027,0.279243223,0.206545865,0.915230508,0.791157057
7,3,0.992498329,0.037955352,0.481330992,0.040806126,0.706111111
7,4,0.901945154,0.255335791,0.904782745,0.352419205,0.060922669
7,5,0.659166611,0.848032683,0.32403975,0.533478475,0.299144993
7,6,0.494732361,0.812361944,0.542589761,0.018566029,0.664422683
7,7,0.054507874,0.869984641,0.528537694,0.708482998,0.753555364
7,8,0.305298382,0.733820345,0.800695425,0.952150982,0.328127946
7,9,0.276691258,0.231971154,0.793806234,0.3868341,0.478124327
7,10,0.55745761,0.039351326,0.686996892,0.770460317,0.005256953
8,1,0.548285119,0.732134674,0.104756676,0.852096564,0.803712538
8,2,0.130141526,0.750200929,0.938588897,0.253335553,0.567588515
8,3,0.074273527,0.637689533,0.815588673,0.053934561,0.938321209
8,4,0.560919575,0.458420115,0.369363801,0.471866115,0.093967455
8,5,0.009774698,0.718115504,0.076038923,0.723708216,0.751590577
8,6,0.740612162,0.239761879,0.871930206,0.609877764,0.922457166
8,7,0.081334404,0.913495681,0.182924314,0.641779684,0.07397814
8,8,0.641014536,0.919453046,0.556033576,0.062999683,0.665520345
8,9,0.660513422,0.349584358,0.493458613,0.496992594,0.564839522
8,10,0.224139196,0.728636095,0.825777267,0.267604733,0.942614761
9,1,0.131656363,0.513598217,0.935490769,0.147906608,0.464215857
9,2,0.965755075,0.136528429,0.653823762,0.768730737,0.397098841
9,3,0.894232129,0.832646308,0.432225145,0.2476946,0.106686059
9,4,0.546470883,0.074995725,0.859128958,0.993980366,0.450390694
9,5,0.453751368,0.739541142,0.615344154,0.292712384,0.96850218
9,6,0.608443395,0.282597104,0.325495527,0.480807869,0.189936026
9,7,0.457823077,0.063774681,0.351937882,0.823775415,0.572329749
9,8,0.151931327,0.39633427,0.098334657,0.675320135,0.539903823
9,9,0.737552065,0.174087697,0.643988688,0.601007974,0.051955311
9,10,0.887108342,0.836072149,0.853961985,0.9687956,0.407213429
10,1,0.659087436,0.796751958,0.198054438,0.176164745,0.09917763
10,2,0.877012809,0.38789266,0.117386105,0.809854259,0.080027619
10,3,0.566789976,0.529769645,0.807120322,0.09097083,0.170368245
10,4,0.425537307,0.481621537,0.26083416,0.502838181,0.829049382
10,5,0.572189309,0.273964227,0.281438927,0.848393904,0.390456855
10,6,0.906294155,0.722124483,0.133884026,0.990148744,0.835168279
10,7,0.529247821,0.783634651,0.813494232,0.400425658,0.225925663
10,8,0.765200591,0.731994252,0.848836667,0.627962293,0.071100572
10,9,0.096117424,0.17497237,0.818939825,0.336706409,0.860222494
10,10,0.985286526,0.932205802,0.844617001,0.44113084,0.508611162
11,1,0.439478186,0.836969089,0.317978981,0.685028066,0.158889679
11,2,0.500112038,0.628816553,0.564997262,0.464593128,0.795124239
11,3,0.287395401,0.758613907,0.250820028,0.518368132,0.747790427
11,4,0.855771575,0.797667712,0.316764246,0.559268454,0.824511164
11,5,0.276742967,0.793192975,0.695145313,0.479810692,0.334645319
11,6,0.166652696,0.567263061,0.830061938,0.787284894,0.104430851
11,7,0.199039923,0.781723271,0.721010378,0.496940595,0.929702031
11,8,0.041549282,0.513729084,0.176190344,0.187562979,0.11584891
11,9,0.03753235,0.433855113,0.287126245,0.063484487,0.272068717
11,10,0.458744765,0.133812448,0.520045126,0.942650911,0.436300469
12,1,0.151421255,0.00736274,0.540425545,0.232107541,0.240150171
12,2,0.233731263,0.264270166,0.642786212,0.289199622,0.647177544
12,3,0.281376529,0.615842532,0.899273754,0.152845792,0.152242248
12,4,0.555535486,0.845528595,0.117649735,0.790863334,0.934666811
12,5,0.647152882,0.614974408,0.842134163,0.689131806,0.710994427
12,6,0.541619539,0.376505588,0.995975851,0.234755426,0.849494844
12,7,0.649547701,0.225089694,0.408261921,0.781905691,0.938725523
12,8,0.165567223,0.401854081,0.510476016,0.03618125,0.97094499
12,9,0.451364259,0.913959559,0.629111855,0.629692882,0.764354675
12,10,0.731702887,0.32426723,0.833259479,0.736845704,0.295645662
13,1,0.087476293,0.07481233,0.127799173,0.870493435,0.433107594
13,2,0.782376747,0.5482858,0.764054067,0.685616098,0.873167004
13,3,0.466052645,0.413134119,0.707524041,0.908394826,0.24853603
13,4,0.86077814,0.859186378,0.589733443,0.676513752,0.574981782
13,5,0.036742565,0.239632788,0.457081493,0.140227072,0.278637699
13,6,0.173626285,0.974374542,0.566964891,0.758651137,0.469991835
13,7,0.866714126,0.73212357,0.647518996,0.401351803,0.653958549
13,8,0.421316283,0.032838257,0.971764494,0.814146262,0.74744104
13,9,0.424938781,0.549166371,0.902129971,0.140646256,0.068398151
13,10,0.87421364,0.917929261,0.592697727,0.62993434,0.534888634
14,1,0.874103257,0.983755011,0.724448298,0.518786665,0.989928332
14,2,0.3287347,0.093437649,0.540404702,0.863145762,0.942623955
14,3,0.393736135,0.834852724,0.356949369,0.291373706,0.555681367
14,4,0.969489568,0.803053861,0.523598512,0.101154375,0.737072599
14,5,0.715954763,0.214468077,0.037697096,0.304408562,0.644194041
14,6,0.58865683,0.069004883,0.954105453,0.335413769,0.975224129
14,7,0.678396387,0.408212215,0.039380029,0.72605501,0.740117126
14,8,0.608631223,0.207639619,0.548806009,0.090439376,0.275997992
14,9,0.2650419,0.862432214,0.532728001,0.268799992,0.550483626
14,10,0.847026103,0.263725671,0.076027464,0.282962844,0.599820871
15,1,0.174056266,0.631329333,0.24049354,0.215484376,0.249007039
15,2,0.465924442,0.792660481,0.315024511,0.656187521,0.398659789
15,3,0.187773329,0.87656338,0.702879154,0.3527919,0.993519393
15,4,0.211907039,0.030881902,0.476817799,0.493285162,0.423595175
15,5,0.661383093,0.88334494,0.603195729,0.09279839,0.910220566
15,6,0.835943299,0.108604644,0.533642929,0.394734349,0.047110814
15,7,0.776982794,0.763414075,0.330740778,0.602461441,0.959336024
15,8,0.326355004,0.105285538,0.644897826,0.847731451,0.055391288
15,9,0.83443761,0.233441498,0.703522546,0.947519277,0.282800373
15,10,0.420974928,0.711982628,0.934701327,0.790876311,0.762200822
16,1,0.416025818,0.09478254,0.367679804,0.159188721,0.707058277
16,2,0.378821533,0.715262648,0.647918135,0.077134126,0.125621521
16,3,0.800649802,0.414101044,0.810872992,0.563872224,0.140272743
16,4,0.389163938,0.089300572,0.152178251,0.387436099,0.016942124
16,5,0.572684966,0.625578946,0.575173469,0.570809562,0.7301927
16,6,0.267498247,0.889057321,0.421902284,0.828408752,0.446636853
16,7,0.902528354,0.909365725,0.840090426,0.169577529,0.622356904
16,8,0.616267721,0.892184687,0.329273796,0.581500532,0.298201733
16,9,0.124659218,0.474352945,0.558655658,0.625936697,0.004960528
16,10,0.66766541,0.33888833,0.961400015,0.941639465,0.637451545
17,1,0.54545128,0.456014209,0.703831133,0.695644795,0.342041672
17,2,0.093029123,0.348173768,0.926712685,0.92711033,0.231079151
17,3,0.852722764,0.337693152,0.885506318,0.840520614,0.857393225
17,4,0.884288542,0.160851656,0.209066184,0.56401544,0.000231195
17,5,0.585372681,0.973699786,0.779988301,0.966716385,0.465193454
17,6,0.726020014,0.061294994,0.474411208,0.627133375,0.730831542
17,7,0.055884782,0.907247587,0.314578173,0.899132189,0.100895562
17,8,0.305892223,0.597715114,0.548410913,0.884738494,0.341505672
17,9,0.503270184,0.200479996,0.113387418,0.069979434,0.834573825
17,10,0.05974071,0.760286276,0.810822553,0.739835063,0.951233478
18,1,0.077252215,0.165128852,0.346470109,0.700752079,0.961566975
18,2,0.482509315,0.183591337,0.535624934,0.57965401,0.750420362
18,3,0.532060495,0.122553487,0.626042693,0.075910519,0.710641564
18,4,0.306304101,0.752504486,0.900608942,0.258316875,0.505182385
18,5,0.243505713,0.523665183,0.667216999,0.458223625,0.467866167
18,6,0.458700731,0.598199898,0.535256607,0.931284025,0.319680125
18,7,0.700817278,0.939669443,0.126418228,0.48788425,0.038710303
18,8,0.994795588,0.769333923,0.885775699,0.028395303,0.641389634
18,9,0.625957364,0.728288931,0.434992977,0.801208635,0.51582377
18,10,0.787262808,0.017225052,0.335807214,0.719390353,0.156749089
19,1,0.708305253,0.531857939,0.457643237,0.342918409,0.773401523
19,2,0.323504528,0.654115895,0.495997864,0.320266493,0.59647784
19,3,0.275046517,0.202852414,0.694453632,0.724323441,0.75814321
19,4,0.701591217,0.897091398,0.429292204,0.880064704,0.571646453
19,5,0.705741283,0.878245197,0.523747994,0.19800495,0.640526531
19,6,0.004290235,0.902584102,0.922172715,0.42381241,0.442023911
19,7,0.195947079,0.791089259,0.045817138,0.961543216,0.596891429
19,8,0.210399291,0.220017416,0.354622982,0.119393826,0.824621779
19,9,0.819572334,0.990603847,0.677635468,0.975864192,0.146138757
19,10,0.834664284,0.3754968,0.809874915,0.989321875,0.688457627
20,1,0.075247358,0.905881413,0.403392526,0.519876963,0.331589801
20,2,0.040863359,0.260018649,0.084848905,0.959205111,0.64146554
20,3,0.633338331,0.424087789,0.360625519,0.242331594,0.783894275
20,4,0.33671122,0.980501417,0.887416859,0.707882647,0.437677772
20,5,0.563531923,0.772769967,0.524295254,0.704944744,0.110759924
20,6,0.259372654,0.597345614,0.989999777,0.872055081,0.495977063
20,7,0.544464945,0.907783617,0.602145889,0.116161625,0.143938187
20,8,0.576482437,0.321481716,0.162508703,0.343071341,0.067217894
20,9,0.176904581,0.447971719,0.832153009,0.380964998,0.876093868
20,10,0.526133727,0.719063696,0.715213729,0.81644359,0.00132625
21,1,0.626578555,0.607468503,0.259438022,0.293563645,0.166521076
21,2,0.250363978,0.434500089,0.315115165,0.834457574,0.731572166
21,3,0.644742867,0.475334404,0.469329687,0.785257832,0.249083797
21,4,0.196866832,0.266848372,0.038935395,0.792594601,0.244895078
21,5,0.036434353,0.302908334,0.982159926,0.032958518,0.924131191
21,6,0.143992259,0.38500955,0.108385994,0.331239543,0.275469967
21,7,0.332811224,0.891557671,0.021565362,0.557825091,0.160150624
21,8,0.162438375,0.099904168,0.002668403,0.540172367,0.853212169
21,9,0.185739157,0.400765517,0.591605881,0.539454107,0.085239242
21,10,0.809577412,0.758737016,0.22326912,0.570725177,0.785792362
22,1,0.304689647,0.70139344,0.278386117,0.52096107,0.126718136
22,2,0.826456134,0.298767378,0.751681458,0.101289466,0.902003972
22,3,0.524070709,0.007524257,0.47586541,0.986452501,0.385575319
22,4,0.557008677,0.681566096,0.148739161,0.224515864,0.70292008
22,5,0.298179857,0.506522958,0.72540274,0.51248697,0.10259727
22,6,0.294794237,0.367258272,0.677666875,0.144472746,0.214826293
22,7,0.511908235,0.389824839,0.088377584,0.593564709,0.528806306
22,8,0.206720884,0.137601753,0.092842214,0.085284426,0.895588787
22,9,0.695885874,0.124966184,0.991057222,0.154220513,0.943861767
22,10,0.009657669,0.104763644,0.523358044,0.611089877,0.918681214
23,1,0.124382199,0.044290973,0.869375723,0.798445342,0.547226682
23,2,0.95630629,0.126679864,0.898467376,0.448234049,0.124212642
23,3,0.912852077,0.854097248,0.247890744,0.252094763,0.769143451
23,4,0.841286726,0.31222098,0.419088451,0.53455923,0.222816792
23,5,0.630215316,0.009223124,0.456186482,0.095953672,0.412443453
23,6,0.241451227,0.346148767,0.658610836,0.877377402,0.490082739
23,7,0.703799923,0.145086839,0.904131317,0.174732705,0.272861828
23,8,0.219417064,0.791028927,0.914614274,0.50899913,0.811760546
23,9,0.238610086,0.201840735,0.291477181,0.117931362,0.747992052
23,10,0.809620974,0.417908658,0.586832499,0.524460121,0.057472749
24,1,0.474690632,0.328822965,0.478204815,0.379210754,0.657637022
24,2,0.874867589,0.134105511,0.207140923,0.262631035,0.099863497
24,3,0.097884918,0.018041591,0.228633509,0.578673355,0.442860384
24,4,0.003559388,0.297455482,0.919396941,0.940294643,0.81711655
24,5,0.736836978,0.855258169,0.574183668,0.751500501,0.187735212
24,6,0.787868211,0.162273821,0.744749242,0.156762684,0.840392768
24,7,0.627799995,0.778623915,0.684908438,0.02185417,0.2296656
24,8,0.868931223,0.775575155,0.546080746,0.796280371,0.301871229
24,9,0.791843992,0.14450769,0.819746193,0.093169892,0.905431741
24,10,0.768145533,0.009358095,0.808050815,0.799392178,0.267876827
25,1,0.799862541,0.298537463,0.192230639,0.502071257,0.728308141
25,2,0.262117078,0.613812931,0.45154419,0.119708333,0.907720754
25,3,0.653928499,0.178891032,0.746913598,0.610394421,0.033736603
25,4,0.379815726,0.627180459,0.112988119,0.030364485,0.359459276
25,5,0.164205879,0.042871362,0.696568074,0.342161573,0.104589223
25,6,0.7074416,0.277672777,0.927866357,0.329156537,0.991592325
25,7,0.217361549,0.289609224,0.045542459,0.285925993,0.577277986
25,8,0.436674405,0.254705718,0.163420983,0.6987386,0.591596051
25,9,0.17062624,0.429163068,0.459712398,0.16865994,0.721860026
25,10,0.882404132,0.51378266,0.820902433,0.612913874,0.536750675
26,1,0.740073089,0.95222301,0.151052822,0.61904428,0.390721193
26,2,0.03792883,0.159993205,0.966518963,0.112386496,0.970530557
26,3,0.713659485,0.354843617,0.180242558,0.646827972,0.227646916
26,4,0.686454676,0.818404733,0.147391911,0.589842385,0.38791568
26,5,0.17726694,0.317451982,0.678126564,0.6664257,0.41920243
26,6,0.484394456,0.559968795,0.135596143,0.533421891,0.765249835
26,7,0.190229341,0.416177843,0.618058408,0.185427288,0.659910677
26,8,0.999016301,0.660431259,0.409216725,0.248282926,0.574218195
26,9,0.860600916,0.766131058,0.917534934,0.04627807,0.740980814
26,10,0.798166206,0.602230191,0.57017837,0.440282028,0.309053818
27,1,0.52373896,0.321303411,0.096651155,0.370324838,0.624938291
27,2,0.949433403,0.323879091,0.305663965,0.354053774,0.738970888
27,3,0.733134941,0.512082936,0.029430288,0.897594681,0.593988362
27,4,0.657285962,0.525857273,0.96392285,0.124548174,0.380991239
27,5,0.208949219,0.674528376,0.289102187,0.133085178,0.022574194
27,6,0.445655477,0.913193558,0.014406804,0.023377269,0.1344807
27,7,0.165287459,0.584409837,0.322521914,0.71428894,0.318364212
27,8,0.404174326,0.188568916,0.729363695,0.714575735,0.296816698
27,9,0.004607219,0.062649052,0.76409116,0.850554846,0.51463224
27,10,0.853693189,0.491981596,0.753641075,0.001347934,0.055931462
28,1,0.80466791,0.128214491,0.480987552,0.440774554,0.117843586
28,2,0.875684022,0.585166162,0.309903901,0.241595422,0.288787273
28,3,0.958416597,0.538843987,0.654779671,0.772352459,0.000941307
28,4,0.837838009,0.044065897,0.486089068,0.345226031,0.42161717
28,5,0.656994011,0.387923739,0.837225287,0.613618021,0.423013121
28,6,0.027499149,0.89906466,0.056799096,0.560179841,0.548924959
28,7,0.782431498,0.177394205,0.796524244,0.444330751,0.125335669
28,8,0.05576766,0.969784044,0.851441262,0.036306451,0.574299801
28,9,0.748578117,0.914308975,0.673878323,0.408189039,0.649446962
28,10,0.105143283,0.134392958,0.846347409,0.263653135,0.59917004
29,1,0.413574783,0.861273156,0.640641455,0.762553788,0.605239193
29,2,0.332425691,0.550142125,0.84245231,0.612854181,0.519924457
29,3,0.959643337,0.700307622,0.030746487,0.509183479,0.931641614
29,4,0.432126746,0.370373705,0.351807532,0.3783581,0.461966358
29,5,0.258341526,0.814827543,0.626395352,0.863064361,0.084387732
29,6,0.061893407,0.802503873,0.126081149,0.202307167,0.147559104
29,7,0.517175826,0.476652382,0.929691632,0.847490304,0.158653336
29,8,0.628133648,0.258410438,0.308018211,0.441883598,0.365749636
29,9,0.422844827,0.022526606,0.40147857,0.80374962,0.325321764
29,10,0.479486241,0.11978875,0.296849272,0.36163993,0.67417086
30,1,0.494817723,0.129049912,0.249225712,0.502628683,0.175242834
30,2,0.281468017,0.864396202,0.505124915,0.256248569,0.963677026
30,3,0.109750214,0.132690842,0.912098821,0.578906959,0.132829314
30,4,0.354367726,0.770102139,0.664905281,0.505080583,0.04735638
30,5,0.621205395,0.667730724,0.280536111,0.171091329,0.650996969
30,6,0.160210468,0.175162609,0.17138877,0.833778814,0.380364534
30,7,0.819795661,0.609994511,0.564905266,0.822752177,0.92310618
30,8,0.842115519,0.611789346,0.384996872,0.47015737,0.085901605
30,9,0.896605388,0.444601167,0.338389661,0.909764161,0.418008583
30,10,0.667407791,0.413768844,0.589938331,0.123552301,0.875431506
31,1,0.849653423,0.551238376,0.625884747,0.212072767,0.029929901
31,2,0.015009508,0.168128021,0.794630251,0.65874833,0.745664457
31,3,0.699674281,0.206797783,0.118428227,0.482793866,0.097368598
31,4,0.891885368,0.535770075,0.965723041,0.104896336,0.759905801
31,5,0.383326667,0.221681969,0.89954248,0.577809252,0.479567461
31,6,0.184572935,0.926566277,0.97781073,0.533436638,0.733254656
31,7,0.347920943,0.222775677,0.221167511,0.575322472,0.65012995
31,8,0.174467441,0.351522008,0.503964055,0.386797497,0.608207289
31,9,0.42628692,0.554170786,0.370952059,0.177582761,0.435147807
31,10,0.717661933,0.393347383,0.836850145,0.241300076,0.453907409
32,1,0.501580054,0.817045032,0.320561651,0.218644364,0.00820096
32,2,0.927886185,0.745286675,0.076636269,0.721788051,0.758041627
32,3,0.777061029,0.865118716,0.143394654,0.755458638,0.574036313
32,4,0.084664221,0.774096752,0.147580555,0.185846306,0.240034997
32,5,0.776175637,0.114432664,0.730442238,0.455042038,0.14024349
32,6,0.100147522,0.252641353,0.495934472,0.975443664,0.890567184
32,7,0.414930243,0.786712262,0.24080026,0.694640139,0.288670731
32,8,0.457457065,0.494701336,0.425747245,0.542638612,0.379356603
32,9,0.568113431,0.783456758,0.364030663,0.77179089,0.047787027
32,10,0.029356697,0.562335925,0.67147269,0.80114333,0.252376
33,1,0.874879531,0.244560443,0.405722812,0.547611926,0.863607701
33,2,0.024768084,0.361788696,0.620687972,0.924091606,0.872600802
33,3,0.567822994,0.021502679,0.290485768,0.62944046,0.93818629
33,4,0.21437224,0.637103454,0.25757698,0.365744584,0.192383956
33,5,0.487147493,0.779207613,0.223944565,0.941528442,0.79286961
33,6,0.801167929,0.84948628,0.225362275,0.717713321,0.339847847
33,7,0.067011791,0.309589476,0.84731018,0.505542176,0.52070939
33,8,0.868827843,0.219921718,0.269781479,0.464165705,0.514702918
33,9,0.200085512,0.709360556,0.94237431,0.188501277,0.862697128
33,10,0.500188744,0.611475604,0.543572886,0.454499,0.870784823
34,1,0.087724871,0.794118014,0.723655146,0.079458196,0.504655057
34,2,0.450167333,0.491901184,0.612475601,0.6524314,0.392228571
34,3,0.872100989,0.153221306,0.593244871,0.391473846,0.954722243
34,4,0.858939986,0.129194449,0.015993658,0.802842256,0.055353221
34,5,0.631633117,0.859827313,0.769611272,0.235500047,0.650333599
34,6,0.574947243,0.606810207,0.292106141,0.402981918,0.368201517
34,7,0.471651013,0.562077034,0.140695372,0.944667559,0.679708726
34,8,0.454732094,0.304036251,0.611500665,0.677989508,0.064988634
34,9,0.261361905,0.877034784,0.024851981,0.366261289,0.210017547
34,10,0.969782274,0.498335997,0.826922257,0.504342375,0.456312508
35,1,0.84267914,0.088779358,0.725309095,0.338056026,0.123656653
35,2,0.762399577,0.898613514,0.663533872,0.170730803,0.187254141
35,3,0.911326174,0.475847273,0.159267767,0.463565282,0.977610541
35,4,0.465323023,0.861165045,0.972997165,0.789515183,0.564028663
35,5,0.794781523,0.114989062,0.681563956,0.88657884,0.141742748
35,6,0.463227691,0.091398897,0.523772006,0.418648017,0.447928422
35,7,0.463788801,0.751018625,0.273128458,0.510324642,0.963782568
35,8,0.004453325,0.926297122,0.864240521,0.641698941,0.824170378
35,9,0.132533938,0.252278219,0.429315437,0.616502855,0.317091811
35,10,0.506442038,0.825226812,0.320690884,0.36821625,0.645675375
36,1,0.6900554,0.999609438,0.238311511,0.663284656,0.125837259
36,2,0.289051604,0.248479307,0.23526692,0.901253247,0.991082303
36,3,0.926848038,0.10498772,0.488983671,0.977919875,0.187530664
36,4,0.582994819,0.650895013,0.903529189,0.439590977,0.815744481
36,5,0.021095016,0.892910162,0.776173848,0.843854058,0.512816434
36,6,0.371845174,0.31752788,0.967692144,0.541792904,0.438352509
36,7,0.617962723,0.263190537,0.225266474,0.422001821,0.333080915
36,8,0.959532946,0.182940034,0.480287481,0.677935343,0.166614158
36,9,0.708234097,0.10816859,0.309893021,0.798246162,0.653414972
36,10,0.599246306,0.235372883,0.194466314,0.730713207,0.329103279
37,1,0.434482598,0.537855749,0.917063285,0.096548199,0.162479433
37,2,0.850562272,0.809352775,0.178451069,0.587352552,0.787085892
37,3,0.800824486,0.827875473,0.106562936,0.656638964,0.31711414
37,4,0.056275272,0.216135945,0.781009998,0.686262288,0.192095791
37,5,0.627033046,0.765771635,0.443697066,0.728778934,0.783221292
37,6,0.871547705,0.958017284,0.855793062,0.820154218,0.022009088
37,7,0.753363246,0.174116757,0.519762429,0.065590814,0.782062973
37,8,0.563745392,0.063471325,0.220649142,0.213574869,0.952790897
37,9,0.962321232,0.89619179,0.990294817,0.012718124,0.620554356
37,10,0.973921826,0.712621364,0.512504296,0.107543738,0.146726851
38,1,0.751807684,0.730177218,0.548054518,0.338349536,0.936962924
38,2,0.172489695,0.455932636,0.210205177,0.333380571,0.642106092
38,3,0.450010011,0.849316343,0.482896555,0.598866292,0.864625489
38,4,0.464115273,0.208684643,0.905565378,0.507582353,0.006268981
38,5,0.187799679,0.630605539,0.866701032,0.888844544,0.467214255
38,6,0.321860286,0.818212032,0.782857542,0.464943999,0.513660393
38,7,0.239195517,0.946484589,0.279128911,0.41658119,0.56482193
38,8,0.175448787,0.690433342,0.846456093,0.826873948,0.703365487
38,9,0.800373211,0.921119344,0.776773863,0.976624621,0.859103093
38,10,0.640573318,0.77887621,0.755530951,0.463386656,0.998671912
39,1,0.496529046,0.555110684,0.023870787,0.364310249,0.043396649
39,2,0.68824173,0.179214122,0.987125173,0.32488508,0.937334901
39,3,0.553221175,0.858697306,0.281751466,0.010442948,0.316960151
39,4,0.126516009,0.092860397,0.275209866,0.468113288,0.667712218
39,5,0.720723441,0.818186071,0.459114913,0.037054647,0.960139136
39,6,0.674713388,0.343469645,0.101247567,0.708918485,0.941089439
39,7,0.41639841,0.07564588,0.0533587,0.154319628,0.861931839
39,8,0.714260287,0.148954595,0.521281477,0.830159622,0.01960084
39,9,0.983386731,0.327409451,0.600754852,0.330140459,0.432551299
39,10,0.086302569,0.557609007,0.990187021,0.052289756,0.181816629
40,1,0.49397974,0.76937761,0.250042974,0.629656979,0.846197365
40,2,0.057144062,0.62521499,0.45712143,0.555873727,0.189242405
40,3,0.274211917,0.160193243,0.896121899,0.762998125,0.356312592
40,4,0.500932592,0.248101061,0.117714044,0.312229823,0.56703691
40,5,0.482559518,0.701955801,0.333497218,0.483034452,0.420766365
40,6,0.565531309,0.650138425,0.927559778,0.073857159,0.853489593
40,7,0.293177125,0.312644121,0.353639091,0.840353753,0.017597221
40,8,0.008827548,0.118519268,0.666974282,0.306215793,0.266055112
40,9,0.206657466,0.399283056,0.242160926,0.534600627,0.962797267
40,10,0.707661591,0.630324074,0.703971938,0.858186874,0.340076288
41,1,0.864030191,0.149782276,0.79320521,0.392328811,0.986583962
41,2,0.749848054,0.553368422,0.867195224,0.170725878,0.673650806
41,3,0.286428364,0.340868898,0.953784559,0.895640173,0.497322209
41,4,0.399507092,0.721531691,0.488697511,0.692042241,0.700036254
41,5,0.02072883,0.792804806,0.261957245,0.097567159,0.507004397
41,6,0.995675322,0.779693196,0.133310976,0.027540052,0.118610033
41,7,0.450027274,0.577639894,0.081502386,0.261469901,0.020697107
41,8,0.621028779,0.941540013,0.704534238,0.843604116,0.297406843
