i_patient,j_no,U_False_positive,U_Positive,U_Follow_up
4,15,0.070382126,0.532780345,0.936943691
4,16,0.649363338,0.526550101,0.870925537
4,17,0.56823022,0.02130274,0.845149609
4,18,0.635189853,0.864610765,0.292750685
4,19,0.181664745,0.852099925,0.762225427
4,20,0.115307231,0.421570573,0.575411553
4,21,0.258951489,0.148637993,0.068982624
4,22,0.967964237,0.570429364,0.035206165
4,23,0.433976913,0.449771226,0.344310982
4,24,0.257711075,0.377484872,0.989606814
4,25,0.358217442,0.572133938,0.519470171
4,26,0.933840433,0.576885878,0.616580071
5,1,0.907244145,0.962422078,0.346025981
5,2,0.202939989,0.836354132,0.508372987
5,3,0.926597493,0.754246556,0.721607066
5,4,0.862413761,0.284300946,0.935210357
5,5,0.002594786,0.076869925,0.585785884
5,6,0.13996841,0.183008889,0.527163959
5,7,0.922105497,0.027336385,0.461615384
5,8,0.259374302,0.137374006,0.415263395
5,9,0.037870408,0.127711599,0.052827031
5,10,0.353041302,0.602607859,0.638898635
5,11,0.340737802,0.054768249,0.427471764
5,12,0.550533712,0.040350921,0.757714142
5,13,0.073844176,0.301267765,0.747479117
5,14,0.483846851,0.737353857,0.838323268
5,15,0.233890688,0.098790349,0.647684916
5,16,0.995090724,0.559281374,0.135565688
5,17,0.382192285,0.414364981,0.515191416
5,18,0.835891267,0.076615447,0.351524289
5,19,0.656182639,0.43163263,0.769465017
5,20,0.674971287,0.012571984,0.486511153
5,21,0.755172278,0.271952745,0.938319121
5,22,0.884498076,0.077196017,0.010635335
5,23,0.065152492,0.487551406,0.239630796
5,24,0.87098843,0.141230712,0.827659224
5,25,0.626181261,0.468208564,0.735948228
5,26,0.010861943,0.672417762,0.23842095
6,1,0.326401033,0.318430266,0.973033631
6,2,0.606053073,0.106350746,0.555567038
6,3,0.195411412,0.113149147,0.984410503
6,4,0.529062549,0.967339293,0.272440993
6,5,0.292114428,0.482908004,0.749454207
6,6,0.89439918,0.845190609,0.365770107
6,7,0.652308704,0.867523501,0.517281143
6,8,0.202627233,0.399295328,0.867523785
6,9,0.806536596,0.881543989,0.676601191
6,10,0.330504755,0.554257264,0.14421273
6,11,0.384945323,0.883671062,0.37690718
6,12,0.479694586,0.725341792,0.58219587
6,13,0.86304594,0.220402343,0.735974999
6,14,0.017715252,0.545111976,0.181882118
6,15,0.186957615,0.01064267,0.185876186
6,16,0.859583819,0.439608389,0.083835897
6,17,0.338182441,0.561851886,0.724984989
6,18,0.316632046,0.714471481,0.457988114
6,19,0.148898573,0.005724316,0.346081698
6,20,0.644337726,0.435265744,0.41206323
6,21,0.102144713,0.336279546,0.906736635
6,22,0.888226668,0.07445142,0.958228897
6,23,0.809554174,0.503264325,0.302671465
6,24,0.665310618,0.408889224,0.414901466
6,25,0.776137053,0.311926484,0.454315327
6,26,0.225347533,0.571363928,0.036438578
7,1,0.490310725,0.4162337,0.527176737
7,2,0.035419719,0.254043764,0.436405834
7,3,0.233263784,0.572211985,0.153254753
7,4,0.798058292,0.86428926,0.893629206
7,5,0.062516988,0.39848524,0.222832085
7,6,0.058095816,0.490743901,0.545995309
7,7,0.785371409,0.825544774,0.060824441
7,8,0.161842781,0.439178363,0.400312095
7,9,0.966581739,0.11452014,0.822122578
7,10,0.821740069,0.565282504,0.23965881
7,11,0.650493497,0.010485013,0.546033638
7,12,0.994986654,0.470169549,0.380823984
7,13,0.708221308,0.457613898,0.95503224
7,14,0.082736735,0.472516973,0.350180288
7,15,0.045574143,0.8227449,0.361178956
7,16,0.540274531,0.323505203,0.315243173
7,17,0.976960805,0.383454279,0.009872228
7,18,0.716346719,0.205905988,0.358233303
7,19,0.496562724,0.198279629,0.163108693
7,20,0.860972172,0.803986403,0.735762025
7,21,0.649088693,0.852021368,0.538833477
7,22,0.035686336,0.400397261,0.948112523
7,23,0.108838785,0.162905469,0.195684334
7,24,0.147452634,0.533386469,0.628909959
7,25,0.391454258,0.197529388,0.906166929
7,26,0.266723622,0.385590968,0.296450812
8,1,0.362850475,0.903090634,0.191973278
8,2,0.632611383,0.623553996,0.082205674
8,3,0.14224109,0.716817454,0.402898609
8,4,0.018501251,0.432561467,0.523559733
8,5,0.659746986,0.979782412,0.620042387
8,6,0.036942285,0.491205764,0.193004488
8,7,0.747515705,0.75232852,0.637675834
8,8,0.704635979,0.524030687,0.14186528
8,9,0.102621575,0.310585027,0.117383702
8,10,0.55519682,0.999114133,0.024877141
8,11,0.87196408,0.685341517,0.490529513
8,12,0.744788517,0.359715335,0.754150501
8,13,0.634796583,0.625458239,0.289012542
8,14,0.33584749,0.668532987,0.9588065
8,15,0.533956217,0.172880737,0.287616224
8,16,0.399969726,0.714555959,0.234286703
8,17,0.926424556,0.23306384,0.655189605
8,18,0.503121806,0.042557118,0.664926508
8,19,0.741039418,0.830661209,0.255189541
8,20,0.553514258,0.633922972,0.699289853
8,21,0.984100224,0.889060354,0.173012424
8,22,0.589700225,0.2075598,0.892426352
8,23,0.45939144,0.446745918,0.046069266
8,24,0.206827125,0.251922341,0.406723094
8,25,0.786581895,0.651631248,0.081526255
8,26,0.90010081,0.540331454,0.950435021
9,1,0.028650952,0.799396045,0.814061085
9,2,0.339270108,0.71347181,0.966079005
9,3,0.014050852,0.917227081,0.664977141
9,4,0.579887365,0.889454795,0.309891576
9,5,0.313802157,0.108396007,0.068826615
9,6,0.447082235,0.698650119,0.932697142
9,7,0.616402775,0.41499266,0.990333921
9,8,0.233715609,0.179765905,0.443325262
9,9,0.679779153,0.044478526,0.568095303
9,10,0.472817373,0.261136422,0.458763235
9,11,0.886125646,0.237791386,0.41393199
9,12,0.225805653,0.15033467,0.087696383
9,13,0.822468289,0.407408146,0.3079408
9,14,0.149096509,0.26045945,0.339182864
9,15,0.924083444,0.924982131,0.483997596
9,16,0.520196885,0.346745311,0.058294471
9,17,0.40777688,0.828962953,0.206579549
9,18,0.005863905,0.178309923,0.035378668
9,19,0.444311927,0.447114616,0.184336556
9,20,0.167924871,0.584722198,0.761281416
9,21,0.027702783,0.160165515,0.085775428
9,22,0.124603138,0.515847598,0.492952363
9,23,0.334459374,0.680069729,0.082388246
9,24,0.260667001,0.279459334,0.874890487
9,25,0.513324314,0.383794645,0.305020871
9,26,0.884167019,0.278076303,0.075380042
10,1,0.382283858,0.901016607,0.05652611
10,2,0.723057598,0.575545738,0.189915477
10,3,0.516480518,0.999783538,0.762200979
10,4,0.152313844,0.392146601,0.952458123
10,5,0.692537888,0.88824995,0.484977348
10,6,0.18479109,0.179243938,0.678225593
10,7,0.408450968,0.279636044,0.917790946
10,8,0.548046136,0.318836114,0.427002541
10,9,0.157150493,0.497692202,0.17508222
10,10,0.378233052,0.148962647,0.231257484
10,11,0.514265248,0.315948119,0.179669255
10,12,0.838671664,0.718874739,0.770348883
10,13,0.140790377,0.461766524,0.571140964
10,14,0.479028111,0.03942065,0.903607327
10,15,0.452400993,0.384301346,0.231119503
10,16,0.127750331,0.835297497,0.726472021
10,17,0.570784339,0.200882068,0.268770777
10,18,0.549920012,0.197218682,0.940654232
10,19,0.008176494,0.106614553,0.503103736
10,20,0.546254661,0.093331496,0.347892551
10,21,0.540600986,0.014053856,0.724115443
10,22,0.944229011,0.957609168,0.361373638
10,23,0.83786801,0.480708971,0.363939966
10,24,0.657186969,0.026545894,0.257059688
10,25,0.833267017,0.57678494,0.049676121
10,26,0.857327908,0.716732759,0.345446631
11,1,0.895956422,0.819599299,0.463367408
11,2,0.821213017,0.842022469,0.562272022
11,3,0.196148531,0.518041898,0.808722073
11,4,0.591447211,0.248952724,0.286743024
11,5,0.01918907,0.323653562,0.802355814
11,6,0.20175681,0.136010501,0.99581467
11,7,0.244602069,0.829535023,0.136945931
11,8,0.776142666,0.292887765,0.175304606
11,9,0.601414924,0.469759649,0.587649041
11,10,0.993080269,0.163829346,0.3475204
11,11,0.81718159,0.292296323,0.561184098
11,12,0.932882991,0.280600309,0.234044227
11,13,0.681857591,0.436578296,0.945335515
11,14,0.016270519,0.477855744,0.573869616
11,15,0.993134922,0.515293513,0.728109468
11,16,0.164907825,0.888843784,0.963136883
11,17,0.704597549,0.705130107,0.572191093
11,18,0.058137245,0.2150837,0.791800901
11,19,0.299837405,0.117769664,0.186713727
11,20,0.75334532,0.804127494,0.906933324
11,21,0.803958534,0.757553052,0.429161894
11,22,0.153160559,0.492382014,0.56359438
11,23,0.15588847,0.0101996,0.386108815
11,24,0.458519526,0.92171631,0.542980428
11,25,0.241975942,0.783247133,0.589164707
11,26,0.08547826,0.982459327,0.391010253
12,1,0.408313826,0.181180976,0.392128492
12,2,0.846016619,0.832567309,0.981157858
12,3,0.907146012,0.512118358,0.831301807
12,4,0.404425486,0.435702125,0.280666259
12,5,0.179930302,0.69763662,0.538765271
12,6,0.116772844,0.984236205,0.366356863
12,7,0.956942439,0.214854395,0.817369611
12,8,0.422143191,0.578566989,0.811717311
12,9,0.160092823,0.97651885,0.47370219
12,10,0.741425156,0.693546688,0.302004644
12,11,0.494530109,0.700971721,0.533535428
12,12,0.951687805,0.525896771,0.549745648
12,13,0.337805813,0.609396274,0.353878546
12,14,0.312734592,0.801222506,0.632465552
12,15,0.66803074,0.662223483,0.713986595
12,16,0.531540809,0.754403296,0.908334673
12,17,0.802246001,0.989369937,0.057699857
12,18,0.873519982,0.895379829,0.679202975
12,19,0.041230123,0.509077968,0.175758391
12,20,0.142201574,0.278083398,0.828070923
12,21,0.378875244,0.523485855,0.868530986
12,22,0.091026664,0.655280793,0.053245249
12,23,0.008609703,0.87442197,0.144010418
12,24,0.958644781,0.286305538,0.137286775
12,25,0.683612498,0.818726367,0.238242226
12,26,0.553477803,0.934197019,0.400227018
13,1,0.715627691,0.174941305,0.298264341
13,2,0.184253995,0.163693137,0.700081877
13,3,0.201930428,0.603563213,0.281262335
13,4,0.960451534,0.353622369,0.077752085
13,5,0.921923675,0.503433456,0.537872521
13,6,0.901756512,0.306775032,0.053786168
13,7,0.788902203,0.32100453,0.984762802
13,8,0.311234453,0.15398457,0.427930966
13,9,0.661000445,0.563251208,0.349442784
13,10,0.755297842,0.130207043,0.87687142
13,11,0.52230817,0.880543423,0.436318361
13,12,0.76967744,0.736470699,0.99820185
13,13,0.293351019,0.753954449,0.132263604
13,14,0.56098274,0.475851581,0.301468867
13,15,0.650197917,0.972472398,0.591834357
13,16,0.190750648,0.633090543,0.164818856
13,17,0.689404699,0.660387351,0.741073892
13,18,0.222708415,0.740187745,0.150065952
13,19,0.219813301,0.542763955,0.175352547
13,20,0.361464592,0.944395814,0.820173507
13,21,0.212252201,0.738843457,0.750471543
13,22,0.227105988,0.064039977,0.969642274
13,23,0.352756779,0.413653056,0.564751661
13,24,0.348327339,0.135308728,0.700538713
13,25,0.052653101,0.067286481,0.39665652
13,26,0.414091873,0.477393532,0.826849793
14,1,0.687366966,0.719885134,0.268778905
14,2,0.974029878,0.626341429,0.015448193
14,3,0.16222943,0.069252946,0.712369964
14,4,0.014557334,0.964320188,0.01071217
14,5,0.974656838,0.056351018,0.978379045
14,6,0.141208129,0.745939454,0.154820378
14,7,0.805437955,0.858732839,0.214900199
14,8,0.720300393,0.191997772,0.795372465
14,9,0.611019795,0.694322391,0.952223412
14,10,0.663485382,0.874963872,0.943016316
14,11,0.549585823,0.018433842,0.563407564
14,12,0.963070082,0.675805782,0.140366836
14,13,0.822469364,0.64727087,0.591190011
14,14,0.900020987,0.080777149,0.741830368
14,15,0.291226282,0.992178038,0.900438143
14,16,0.982322454,0.581437773,0.799816913
14,17,0.972959951,0.832601955,0.797075327
14,18,0.168735279,0.993884491,0.912117256
14,19,0.929156928,0.136989529,0.937842967
14,20,0.859773636,0.707952545,0.032634228
14,21,0.576083669,0.671916016,0.198573987
14,22,0.537060894,0.957821296,0.30252981
14,23,0.477414168,0.198920342,0.503348466
14,24,0.612640382,0.833884282,0.847460694
14,25,0.666247121,0.588231728,0.79428187
14,26,0.228225867,0.909860801,0.356058608
15,1,0.669179976,0.224232818,0.145985352
15,2,0.82880022,0.40584809,0.027741145
15,3,0.874973229,0.692654367,0.746928665
15,4,0.600882324,0.540664045,0.838922361
15,5,0.588586173,0.650516361,0.829412357
15,6,0.598204823,0.552500972,0.276351763
15,7,0.756769153,0.134446318,0.092621057
15,8,0.461460793,0.145524918,0.795205469
15,9,0.678225374,0.707145986,0.168577348
15,10,0.69365262,0.59914369,0.074801174
15,11,0.278187422,0.359204493,0.653666149
15,12,0.267847924,0.537964384,0.420795922
15,13,0.676863423,0.142025138,0.758684941
15,14,0.956198708,0.914998885,0.583930048
15,15,0.359805607,0.383830489,0.808647374
15,16,0.75825391,0.962435473,0.120433673
15,17,0.198882987,0.385254576,0.012741403
15,18,0.280060872,0.844186147,0.519761406
15,19,0.918709219,0.774239204,0.220443753
15,20,0.369789995,0.114002346,0.217118677
15,21,0.821711556,0.946791708,0.099095193
15,22,0.535215677,0.237417058,0.787718732
15,23,0.734673493,0.792017068,0.764696133
15,24,0.035687847,0.823573207,0.260442034
15,25,0.669759154,0.863605462,0.503196446
15,26,0.333469864,0.719584443,0.083799144
16,1,0.170513239,0.190845575,0.283849859
16,2,0.128164126,0.406139055,0.953489161
16,3,0.170790629,0.739630149,0.675987963
16,4,0.342155508,0.163100928,0.972008366
16,5,0.301154961,0.039726884,0.844109091
16,6,0.165061338,0.351620277,0.502233479
16,7,0.022420537,0.33864649,0.003555919
16,8,0.287564928,0.916919721,0.187709691
16,9,0.567591833,0.235497825,0.14042402
16,10,0.478834628,0.108013411,0.401145711
16,11,0.655211252,0.68236975,0.151328144
16,12,0.301070786,0.897795171,0.15528272
16,13,0.512844442,0.892226142,0.431443483
16,14,0.81621748,0.385662357,0.466959407
16,15,0.261095551,0.741453577,0.589260398
16,16,0.192584259,0.139699116,0.361055881
16,17,0.115216566,0.300204875,0.172475745
16,18,0.720783084,0.961004365,0.990541198
16,19,0.993371457,0.381028328,0.965130768
16,20,0.390024581,0.366927513,0.972686572
16,21,0.131663613,0.406917909,0.05634029
16,22,0.634043356,0.011302913,0.906516036
16,23,0.689425086,0.782541239,0.516710041
16,24,0.615908562,0.468691381,0.491729395
16,25,0.403062019,0.17307435,0.128683355
16,26,0.418440551,0.098622436,0.835452381
17,1,0.07290176,0.568552698,0.419246256
17,2,0.692538909,0.168498884,0.952638765
17,3,0.26250389,0.250129986,0.42359926
17,4,0.994456579,0.225365712,0.952006075
17,5,0.691524968,0.307369304,0.246114118
17,6,0.86777679,0.151895457,0.703853516
17,7,0.261137517,0.638313781,0.571086871
17,8,0.038843492,0.823078444,0.838873657
17,9,0.782712099,0.947442354,0.023049046
17,10,0.8632173,0.672487694,0.023519445
17,11,0.924645794,0.043601688,0.972040891
17,12,0.710047292,0.850384845,0.612972241
17,13,0.234745976,0.395591402,0.587325644
17,14,0.191901854,0.19287626,0.508268423
17,15,0.475013471,0.253836861,0.750740268
17,16,0.091715248,0.391492507,0.275693906
17,17,0.393405037,0.702779918,0.595873905
17,18,0.608746888,0.431797471,0.174495149
17,19,0.33637264,0.370786619,0.331424974
17,20,0.094165813,0.239162645,0.792050849
17,21,0.526405505,0.093477413,0.49455555
17,22,0.749246184,0.462416693,0.329687734
17,23,0.13814115,0.604905064,0.726427007
17,24,0.394203343,0.927193946,0.588687369
17,25,0.312596113,0.314769836,0.999639002
17,26,0.929421122,0.281415871,0.354759832
18,1,0.952920049,0.681466862,0.704824865
18,2,0.187556434,0.781865743,0.844223768
18,3,0.736526404,0.124418701,0.400202417
18,4,0.174016569,0.911425205,0.789229272
18,5,0.50749354,0.994372108,0.024726255
18,6,0.351661857,0.636418789,0.981069379
18,7,0.766965292,0.398591318,0.975279973
18,8,0.858638916,0.501190032,0.493081936
18,9,0.589247428,0.003465138,0.643698914
18,10,0.825485069,0.990855333,0.4929686
18,11,0.821168481,0.293669855,0.518217991
18,12,0.38650334,0.026676769,0.825212674
18,13,0.560716998,0.06604399,0.385717093
18,14,0.655965353,0.228184843,0.466882067
18,15,0.781796726,0.818937325,0.486264694
18,16,0.710339188,0.217565076,0.245877216
18,17,0.378873788,0.90161888,0.765274405
18,18,0.357199047,0.821430647,0.733315004
18,19,0.230355042,0.239818702,0.950715321
18,20,0.59609221,0.607018067,0.740557161
18,21,0.203501001,0.745715892,0.738069442
18,22,0.448472682,0.53617914,0.162771554
18,23,0.600112377,0.12971537,0.922197755
18,24,0.142759026,0.803505252,0.255900574
18,25,0.855153974,0.208525883,0.604894386
18,26,0.858034198,0.937369476,0.32040653
19,1,0.964437667,0.458791214,0.27283711
19,2,0.893758935,0.115745708,0.78678875
19,3,0.715737955,0.472479803,0.913625117
19,4,0.312623496,0.656114046,0.807937153
19,5,0.800932864,0.403149858,0.083925528
19,6,0.991288662,0.988382968,0.477997988
19,7,0.992722498,0.582090806,0.913631097
19,8,0.624797766,0.913975911,0.551592198
19,9,0.112370161,0.033085142,0.790467171
19,10,0.517433282,0.920884551,0.740902644
19,11,0.001829159,0.141707672,0.276974118
19,12,0.727725174,0.007883304,0.136647389
19,13,0.110009179,0.53872418,0.130900164
19,14,0.770060476,0.036904423,0.400754868
19,15,0.057101952,0.503234938,0.788174869
19,16,0.133927753,0.787847225,0.481267179
19,17,0.81108543,0.009901598,0.895787572
19,18,0.014256014,0.419344827,0.231113106
19,19,0.623070284,0.485047739,0.512985012
19,20,0.342570656,0.929646458,0.837664793
19,21,0.746810476,0.473202104,0.056415757
19,22,0.918059653,0.370257988,0.854191739
19,23,0.119912002,0.694820086,0.023135406
19,24,0.034260378,0.556184952,0.932881035
19,25,0.939952206,0.839564918,0.124751734
19,26,0.091261488,0.440803896,0.696994466
20,1,0.779744842,0.77063709,0.592084462
20,2,0.41170006,0.339906504,0.08707227
20,3,0.457938862,0.953018884,0.740192466
20,4,0.588929941,0.960223094,0.275097953
20,5,0.744254444,0.643961338,0.023618265
20,6,0.483601035,0.544037502,0.34497682
20,7,0.567216261,0.849252318,0.181026638
20,8,0.033762352,0.770631063,0.772634841
20,9,0.435092938,0.932637167,0.418908487
20,10,0.156140788,0.263458946,0.701975446
20,11,0.800010338,0.432665074,0.482370605
20,12,0.620877731,0.778269104,0.561784023
20,13,0.042672292,0.214495872,0.160656079
20,14,0.217509268,0.080178411,0.758652106
20,15,0.436073967,0.393204094,0.672417572
20,16,0.183503735,0.812336414,0.006010086
20,17,0.444348626,0.514910671,0.240772886
20,18,0.048433965,0.599001973,0.06020788
20,19,0.248304882,0.832437255,0.377853959
20,20,0.602884232,0.006704008,0.77762895
20,21,0.380961948,0.396232152,0.065773082
20,22,0.929037418,0.71595656,0.007369753
20,23,0.112558942,0.471701367,0.28095549
20,24,0.241410291,0.20371058,0.349508651
20,25,0.945218107,0.907005055,0.698441113
20,26,0.143264856,0.687142551,0.373928496
21,1,0.695683012,0.234902817,0.545304606
21,2,0.873189643,0.53369066,0.842067072
21,3,0.873160965,0.016861531,0.972842326
21,4,0.965713871,0.810416511,0.252072163
21,5,0.583714973,0.908696441,0.050969653
21,6,0.454305948,0.376748185,0.887736649
21,7,0.04562751,0.59897958,0.461751621
21,8,0.972816306,0.005177928,0.005489525
21,9,0.560109411,0.595194153,0.983912956
21,10,0.736586906,0.790274546,0.132470671
21,11,0.542546075,0.298825538,0.705634511
21,12,0.339211053,0.335465649,0.816392477
21,13,0.078175097,0.531444988,0.499861856
21,14,0.686839505,0.545301767,0.725123749
21,15,0.249925664,0.788438708,0.909771003
21,16,0.314274493,0.309791674,0.502471652
21,17,0.092772953,0.058537073,0.923232298
21,18,0.614528524,0.049545999,0.244542429
21,19,0.059910832,0.602878668,0.387895579
21,20,0.593480142,0.956001345,0.086256373
21,21,0.354482123,0.752615849,0.200043817
21,22,0.290275845,0.153840212,0.275894805
21,23,0.383945904,0.443300174,0.981569864
21,24,0.512058997,0.248018348,0.06409801
21,25,0.897115879,0.286103532,0.198174378
21,26,0.905404841,0.753049602,0.633473543
22,1,0.366851388,0.126544032,0.868507181
22,2,0.629306814,0.0151226,0.883391815
22,3,0.586037313,0.97719509,0.904642413
22,4,0.439546301,0.184678065,0.619703695
22,5,0.968414614,0.617299454,0.36123478
22,6,0.777200399,0.848592991,0.019223066
22,7,0.263973894,0.879137956,0.972154529
22,8,0.524332839,0.671268153,0.545118673
22,9,0.938065387,0.958764716,0.621073995
22,10,0.589763436,0.562106891,0.470816236
22,11,0.079420202,0.203807754,0.400056413
22,12,0.040903376,0.665698281,0.979322085
22,13,0.82213949,0.725565643,0.094303512
22,14,0.242866718,0.772311073,0.349347726
22,15,0.608498423,0.3175108,0.003810852
22,16,0.004372782,0.209690399,0.929841818
22,17,0.542669492,0.03643633,0.197195817
22,18,0.351305607,0.971815828,0.528173075
22,19,0.23837704,0.820530542,0.03680522
22,20,0.328158543,0.012208358,0.629060574
22,21,0.26293887,0.764712066,0.824299074
22,22,0.309130771,0.726391231,0.882381126
22,23,0.387815244,0.852111534,0.960807904
22,24,0.102339514,0.252455017,0.354563185
22,25,0.0854757,0.580286296,0.759313579
22,26,0.4310335,0.277981638,0.936930946
23,1,0.969484745,0.155233299,0.005086432
23,2,0.076033696,0.391804999,0.770053955
23,3,0.621337391,0.572170763,0.684482661
23,4,0.318566348,0.138454962,0.327727769
23,5,0.959935074,0.084677828,0.8990856
23,6,0.184831822,0.870119669,0.835534889
23,7,0.5917989,0.853195835,0.46019778
23,8,0.580637955,0.612978574,0.286408171
23,9,0.81605941,0.038120969,0.888346514
23,10,0.115016295,0.381677129,0.24010272
23,11,0.938148333,0.805879978,0.794969844
23,12,0.359301698,0.13526819,0.885711771
23,13,0.342039893,0.564268233,0.329870304
23,14,0.412109618,0.552878048,0.929390256
23,15,0.278335847,0.325661525,0.436748133
23,16,0.421354937,0.465543275,0.2986307
23,17,0.199177932,0.887823369,0.581239454
23,18,0.267825982,0.973569441,0.924295207
23,19,0.250185826,0.62624393,0.342635872
23,20,0.674922426,0.323332477,0.694941235
23,21,0.133682725,0.628320179,0.994446602
23,22,0.331834076,0.703162876,0.847508912
23,23,0.468507551,0.803063653,0.115844506
23,24,0.247975848,0.171031066,0.46282176
23,25,0.857764643,0.318701857,0.434752721
23,26,0.35314924,0.956377193,0.439170144
24,1,0.46235191,0.902645194,0.208122093
24,2,0.868870698,0.159960734,0.467571179
24,3,0.832324206,0.119016774,0.758664264
24,4,0.377542289,0.725269852,0.156902166
24,5,0.627384802,0.900169787,0.864455895
24,6,0.936799024,0.271004637,0.404612132
24,7,0.490210294,0.748063888,0.85190115
24,8,0.645708833,0.128892688,0.953092043
24,9,0.170603778,0.339423932,0.586938665
24,10,0.658923279,0.328010632,0.182823915
24,11,0.107002416,0.241993059,0.886303436
24,12,0.305559053,0.896748926,0.862188088
24,13,0.3381506,0.651179262,0.434040203
24,14,0.940357607,0.586787413,0.507818046
24,15,0.291119932,0.868970111,0.47663186
24,16,0.22256879,0.808539214,0.441255341
24,17,0.592248255,0.467146471,0.558233268
24,18,0.254060122,0.267484543,0.964109292
24,19,0.196505238,0.821050316,0.921903401
24,20,0.912000538,0.727864191,0.367216204
24,21,0.661705775,0.912152969,0.208880373
24,22,0.517526563,0.414789602,0.397283945
24,23,0.89017517,0.343042853,0.532237226
24,24,0.494204915,0.606342806,0.012471937
24,25,0.649744473,0.195329065,0.209198461
24,26,0.409646223,0.022635998,0.181178881
25,1,0.539973584,0.827077854,0.039700737
25,2,0.241339365,0.017338834,0.889052698
25,3,0.140082161,0.551048758,0.578669508
25,4,0.443048912,0.087255477,0.763888302
25,5,0.167798148,0.718120415,0.537995627
25,6,0.610038842,0.556484957,0.652565646
25,7,0.36379425,0.442915842,0.477233435
25,8,0.061427908,0.506669739,0.816562435
25,9,0.094213397,0.209781778,0.592593452
