i_patient,j_no,U_PLCO,U_Age,U_Gender,U_Smoking,U_OCM,U_Start_state,U_State_NSCLC,U_State_SCLC,U_NH_acc_factor,U_Next_event2,U_LCM,U_Component,U_Risk_sample,U_Age_in,U_IMD,U_White,U_LHC,U_LDCT,U_Persist,U_Respond,U_Join
14,1,0.788075773,0.569166506,0.194269363,0.684628582,0.993162314,0.696896733,0.257388792,0.222444287,0.608264481,0.994195879,0.010216922,0.435162631,0.849589952,0.335797614,0.913605453,0.754528618,0.810860982,0.103479201,0.48406791,0.02021228,0.536244015
15,1,0.859721702,0.863385886,0.319219016,0.425873339,0.538346326,0.380206914,0.119546504,0.486453883,0.890872167,0.279710528,0.947530565,0.926208553,0.42386899,0.62080763,0.300232984,0.429826481,0.596660233,0.495376104,0.67144679,0.644568434,0.193624751
16,1,0.684346599,0.202493479,0.747590406,0.414587751,0.686350811,0.774763224,0.577008912,0.779482959,0.614048816,0.350032376,0.924761825,0.06320894,0.561103143,0.852341782,0.843984772,0.184025217,0.204385645,0.639849813,0.310568463,0.660890419,0.11077583
17,1,0.143362204,0.836591105,0.863861713,0.527872212,0.132807209,0.165687382,0.197437175,0.69516415,0.064826371,0.654972126,0.880555067,0.564910553,0.951523463,0.994381503,0.214967722,0.978883952,0.085345047,0.983748755,0.356567628,0.94032182,0.697981785
18,1,0.791476107,0.688637513,0.418024336,0.449525891,0.664031848,0.675605603,0.579666737,0.992111773,0.149857862,0.966240925,0.445060257,0.22754336,0.262485525,0.634427518,0.774549857,0.747745372,0.310903192,0.242076138,0.762397701,0.083877403,0.761330263
19,1,0.144314193,0.994799984,0.431166512,0.478857216,0.745771795,0.628695719,0.523527937,0.617174863,0.893294706,0.445415852,0.286998908,0.495405069,0.502968402,0.899781688,0.483452152,0.341618315,0.282178917,0.254781837,0.937599105,0.305269019,0.000196514
20,1,0.431981701,0.104519634,0.611918699,0.086438005,0.03193694,0.554514347,0.774476115,0.587952039,0.469509647,0.425301982,0.54373075,0.456297909,0.523615625,0.10981687,0.979206159,0.259627746,0.901819532,0.094115795,0.934191769,0.144696558,0.635719726
21,1,0.232299897,0.014846742,0.737056252,0.150114761,0.203638854,0.450869644,0.65725834,0.499858933,0.693889594,0.800276149,0.260435668,0.734487134,0.2708955,0.488488932,0.947516611,0.073376318,0.043950282,0.033405804,0.820214833,0.289196314,0.632269958
22,1,0.582686461,0.869578578,0.398784016,0.916585073,0.706856506,0.669608307,0.954454442,0.549731148,0.594342341,0.469506339,0.65192193,0.167803566,0.787674938,0.864779764,0.16567327,0.569396505,0.435188977,0.061718224,0.391269798,0.342157094,0.441637045
23,1,0.748493241,0.634054438,0.616706499,0.934149534,0.461406947,0.18062574,0.193020573,0.243040273,0.83998765,0.310584994,0.209607723,0.26738149,0.644522356,0.720823586,0.267129193,0.246361702,0.583830662,0.085993418,0.497018739,0.930145296,0.430806414
24,1,0.719480137,0.622868561,0.094487332,0.488182701,0.487607733,0.202307817,0.64266305,0.292321072,0.954207617,0.537122731,0.847746198,0.258544901,0.49861587,0.113996083,0.843568664,0.233575544,0.349565184,0.546997102,0.102137093,0.12570573,0.534237912
25,1,0.205288828,0.008990242,0.198373283,0.33023238,0.180703841,0.304471446,0.505230238,0.729073385,0.345399983,0.156644851,0.107279022,0.911554793,0.607117773,0.841313893,0.612650271,0.112611688,0.706723572,0.735365652,0.523748955,0.617110342,0.310749591
26,1,0.604782475,0.212810439,0.648267721,0.241013583,0.546370646,0.816628635,0.772230387,0.379063724,0.133272283,0.046582764,0.073883777,0.023422945,0.855503643,0.529413957,0.889548553,0.99078343,0.109983597,0.33534007,0.686816894,0.068331471,0.475573962
27,1,0.34411638,0.712461763,0.129199996,0.25724102,0.185198387,0.844199816,0.994111607,0.748039415,0.590643924,0.773033828,0.453833533,0.641327071,0.707832077,0.343109331,0.018120518,0.422537197,0.541945263,0.85449118,0.468439184,0.883710413,0.732150319
28,1,0.799191288,0.685167459,0.049095037,0.336409905,0.588399861,0.84767419,0.211488097,0.59811975,0.708710801,0.502286326,0.066270958,0.966995533,0.249746678,0.786714301,0.673739253,0.981963553,0.203164683,0.714383031,0.353745718,0.837871271,0.068545651
29,1,0.650276947,0.080155009,0.790708277,0.627501453,0.687027527,0.552329823,0.9396823,0.960768674,0.230236281,0.220411676,0.013777521,0.887171078,0.310470596,0.626383738,0.809865805,0.797964345,0.720390368,0.813018447,0.800654586,0.875963272,0.360443869
30,1,0.866604039,0.143674902,0.906780567,0.461570693,0.116970193,0.382126329,0.611612221,0.114327839,0.269736226,0.728890684,0.684903785,0.884208866,0.3898044,0.550186676,0.610525269,0.520893863,0.665158097,0.902939525,0.470874672,0.506615309,0.636980366
31,1,0.193154285,0.971443231,0.947938625,0.404580253,0.273650049,0.547879567,0.847929397,0.405262009,0.141302773,0.285188505,0.975635117,0.782624424,0.034184979,0.820071698,0.90424315,0.217721538,0.509581799,0.396788989,0.742177996,0.206854432,0.794937249
32,1,0.419816537,0.23765564,0.965280434,0.318953219,0.260347439,0.569886961,0.692069886,0.52768555,0.974130672,0.113213445,0.718423663,0.605652506,0.222151861,0.63368766,0.787479562,0.828485216,0.090243408,0.090911699,0.352702561,0.074922888,0.671972489
33,1,0.275303012,0.171366064,0.932439734,0.476206493,0.013568851,0.285676443,0.699015336,0.650232046,0.783398013,0.349100583,0.897476088,0.452800106,0.694523443,0.400886857,0.513124244,0.725562855,0.126354385,0.189500908,0.134436093,0.383361501,0.896510889
34,1,0.419111606,0.736670024,0.537290485,0.959180596,0.29738388,0.688917219,0.425016722,0.28508255,0.369158263,0.531755361,0.945959435,0.398945941,0.86421208,0.877068957,0.857344363,0.282356728,0.414350105,0.336455669,0.213829764,0.057091303,0.632513357
35,1,0.515018616,0.828754837,0.372963479,0.592672061,0.548758432,0.277090679,0.83231049,0.67518014,0.997565162,0.796928369,0.322008328,0.072342985,0.266672128,0.684841266,0.384009895,0.605773526,0.820703037,0.360564536,0.906925615,0.28658092,0.998324495
36,1,0.446210742,0.919173884,0.605389625,0.141382139,0.043071704,0.813653708,0.028775184,0.711335205,0.526168049,0.488642494,0.309300239,0.199621802,0.603338948,0.637226362,0.01582272,0.171313284,0.17493495,0.285836793,0.453694696,0.549762016,0.234527802
37,1,0.711628238,0.557074915,0.818450138,0.863413225,0.633736894,0.273632302,0.150760435,0.816275976,0.007181247,0.054581896,0.858454293,0.295754017,0.835558946,0.486979804,0.252956073,0.67417457,0.831011995,0.491244947,0.362043219,0.590395868,0.114131585
38,1,0.688519638,0.13102409,0.470565712,0.943564808,0.043174103,0.076818821,0.212917403,0.201339274,0.303089024,0.589671269,0.250711778,0.892949201,0.288933289,0.076725674,0.991775955,0.587338373,0.479933439,0.179199143,0.824692918,0.183864126,0.893328733
39,1,0.183017261,0.411781202,0.513250947,0.270839743,0.167739895,0.681104779,0.087406622,0.830412455,0.388237072,0.383042613,0.135789548,0.192157137,0.118799185,0.762199041,0.42422495,0.569545077,0.315500441,0.129256597,0.210753273,0.356447159,0.009977469
40,1,0.233348931,0.191311456,0.276288165,0.293122716,0.868185952,0.270916563,0.260122457,0.75558724,0.260991423,0.568504146,0.059692093,0.656415097,0.277278011,0.799829403,0.077974541,0.490639617,0.9533084,0.990908803,0.051595761,0.378357759,0.254403518
41,1,0.072587575,0.806836748,0.364596547,0.163990196,0.981098646,0.901921556,0.000492721,0.748896933,0.293398321,0.206678303,0.005911666,0.175623227,0.781975191,0.8132072,0.888988854,0.130839557,0.169346055,0.452866787,0.578969671,0.188401891,0.678512469
42,1,0.081569166,0.05607263,0.30838342,0.151095703,0.585935239,0.154314075,0.960307939,0.91699211,0.352602925,0.833085881,0.002780843,0.992315331,0.720971588,0.629907005,0.065266003,0.904522277,0.689170597,0.375102388,0.957286592,0.552389011,0.246498758
43,1,0.158312259,0.662751828,0.80446229,0.605397787,0.640556934,0.237585017,0.034302455,0.928282449,0.223785167,0.437937279,0.99144358,0.243904292,0.26048536,0.318479438,0.986901419,0.515239198,0.592933989,0.825900217,0.942564347,0.483575833,0.969566843
44,1,0.899501923,0.600349496,0.177985915,0.355864094,0.693201644,0.072201726,0.233444575,0.124303023,0.715986683,0.636436921,0.719474385,0.457964893,0.057775968,0.279149575,0.933806285,0.751656623,0.70634025,0.195476264,0.143084056,0.132004227,0.531632934
45,1,0.935724793,0.982149192,0.644139251,0.790149544,0.276430031,0.1868769,0.30355811,0.002366378,0.091288358,0.032853224,0.80203259,0.386164928,0.208232379,0.346736131,0.937443093,0.710974037,0.05515677,0.708046488,0.480985317,0.604206365,0.855130657
46,1,0.769054082,0.337753072,0.149249967,0.777427154,0.627428008,0.056703959,0.651867576,0.563026028,0.644204996,0.416787625,0.982116553,0.172369569,0.113458752,0.080275331,0.241920664,0.074632919,0.871698359,0.638716874,0.644150162,0.086243914,0.964609343
47,1,0.204615223,0.141101642,0.950660114,0.873913757,0.378871273,0.111280539,0.24869886,0.526062457,0.59004539,0.561121902,0.432454175,0.862789465,0.172492775,0.185599683,0.552004404,0.002449978,0.319765315,0.640711071,0.787866615,0.703832278,0.966576181
48,1,0.652408127,0.542927209,0.929213058,0.431618455,0.499090796,0.950279472,0.522714461,0.397188174,0.647094427,0.702182092,0.672360215,0.345838946,0.108530875,0.964762657,0.045726314,0.883948283,0.827061255,0.296437183,0.767750696,0.23595452,0.729385558
49,1,0.516333897,0.644428645,0.728482089,0.352131329,0.906970404,0.581919448,0.046553032,0.795507093,0.798379459,0.595126437,0.206273061,0.787373275,0.973838796,0.736667718,0.510598819,0.86050347,0.595600434,0.668419514,0.818436122,0.413649872,0.32461835
50,1,0.738507124,0.195394875,0.363952652,0.306136566,0.739747779,0.352297643,0.517561329,0.638505185,0.738867773,0.229405203,0.292083296,0.13537476,0.74959107,0.858037531,0.082888695,0.139602153,0.348241086,0.124967763,0.265135512,0.902966938,0.469540115
51,1,0.945967136,0.736475243,0.903666391,0.381287779,0.589753805,0.354231449,0.763939226,0.489705729,0.604710134,0.760332242,0.379276709,0.288963607,0.844372996,0.917894312,0.089112717,0.729964858,0.494574887,0.410498748,0.801048965,0.3298568,0.193240177
52,1,0.282364803,0.089162561,0.116715811,0.856342874,0.099138711,0.501415989,0.967002776,0.645747184,0.700615695,0.586139061,0.308189833,0.657589177,0.697435694,0.31202501,0.173568782,0.693951963,0.677063841,0.589464627,0.189988812,0.630162149,0.737574325
53,1,0.194545457,0.428724796,0.458047513,0.179870551,0.855061438,0.710782125,0.850004056,0.305571374,0.241213585,0.936221795,0.981452069,0.113023033,0.996415592,0.827192518,0.822870126,0.788403969,0.916809292,0.623146446,0.970153028,0.920015502,0.195412405
54,1,0.191139398,0.472372326,0.753187237,0.400204404,0.528190579,0.145925828,0.310257771,0.200549072,0.738469506,0.018119153,0.373465891,0.568547516,0.066383763,0.306946352,0.231374752,0.596867468,0.510182389,0.80610353,0.181350812,0.9369516,0.67237547
55,1,0.21079022,0.223932656,0.457012379,0.484793264,0.763860536,0.504844826,0.006030507,0.801423483,0.690157017,0.232921297,0.927999051,0.53530675,0.336321027,0.08487439,0.543291061,0.246058824,0.460828294,0.255646913,0.862098802,0.099620383,0.644200952
56,1,0.458687399,0.584243117,0.464017986,0.880346231,0.834784639,0.843680273,0.219564706,0.699240066,0.216802245,0.219619156,0.548021605,0.25761835,0.303286884,0.811290479,0.990781991,0.358998387,0.573705466,0.841680931,0.350309517,0.69190571,0.975864664
57,1,0.786933102,0.829538135,0.908476547,0.71146558,0.719412735,0.290364624,0.223282404,0.693415252,0.645807407,0.342570115,0.359208857,0.499585843,0.102555293,0.431647332,0.811563207,0.426597238,0.902631099,0.324946409,0.445148246,0.953101214,0.496977224
58,1,0.986272734,0.624450877,0.979690825,0.058874287,0.700261385,0.285003812,0.973255145,0.495773182,0.512817275,0.330126967,0.093315707,0.83109682,0.995627227,0.225672644,0.190917206,0.907038243,0.910134772,0.319188767,0.672220396,0.070634522,0.884351724
59,1,0.630398198,0.74557513,0.405185158,0.836873726,0.186752611,0.505514766,0.748059735,0.894153934,0.694262207,0.14561164,0.991064715,0.426532959,0.380238012,0.037074807,0.25319638,0.65813973,0.361406334,0.464483288,0.300608036,0.158317558,0.943673116
60,1,0.140968744,0.036740648,0.934329578,0.402206732,0.885120252,0.887940002,0.370758129,0.180120747,0.167641574,0.348972382,0.347313781,0.852624936,0.260461589,0.812881752,0.0571193,0.68662482,0.988164995,0.647450374,0.926118271,0.816674802,0.773673696
61,1,0.875785092,0.777471706,0.137648345,0.504792247,0.488931535,0.722690864,0.69955279,0.82966411,0.532204427,0.756292681,0.256793235,0.985846941,0.384302058,0.439226665,0.599197349,0.257332441,0.00751964,0.296392914,0.670131742,0.313257385,0.286106028
62,1,0.955498477,0.346789594,0.438919291,0.064282941,0.750076474,0.897823579,0.056179667,0.055061512,0.699023726,0.515516286,0.347475438,0.336412717,0.163404332,0.332614414,0.345566532,0.123233987,0.864990466,0.971452557,0.21779787,0.283444115,0.889479519
63,1,0.562674472,0.885417816,0.577363149,0.517629553,0.672331217,0.666932996,0.205485816,0.510512792,0.76888821,0.585704305,0.741719738,0.730073805,0.5448333,0.508534152,0.738201385,0.082216027,0.921735495,0.889997489,0.737955132,0.543426697,0.756089814
64,1,0.626508304,0.544302896,0.294298173,0.74083496,0.844202931,0.526754554,0.312581489,0.028470132,0.374618818,0.407196544,0.02345979,0.645792088,0.011177489,0.12041361,0.020634615,0.073649114,0.978565926,0.153944798,0.818909936,0.263845617,0.348944241
65,1,0.116831864,0.57697127,0.00208049,0.905240763,0.07913121,0.057591482,0.206779215,0.196813754,0.079191598,0.699951091,0.367498985,0.141150835,0.037509092,0.771404197,0.280071891,0.716338368,0.091856929,0.36860242,0.836897064,0.742706074,0.111480027
66,1,0.143459887,0.898910069,0.085061447,0.020717459,0.853983386,0.231758519,0.841848868,0.834626091,0.484188206,0.910446665,0.703176058,0.025115308,0.746254707,0.344144233,0.46941733,0.527264784,0.046457362,0.959468122,0.532843196,0.446246864,0.753868472
67,1,0.922092387,0.386621134,0.546582492,0.234875511,0.388963506,0.08755655,0.417893385,0.825746243,0.362441754,0.959121267,0.689252088,0.704205073,0.654475698,0.189962242,0.23147817,0.636063704,0.276231884,0.109924774,0.468462132,0.863754538,0.882612934
68,1,0.552139612,0.47579669,0.964186369,0.49853319,0.871862731,0.06227996,0.815646447,0.047787265,0.414515438,0.330333523,0.487587052,0.982375149,0.677102518,0.960749243,0.200923522,0.443108847,0.309317933,0.930110364,0.057387501,0.471078854,0.5243191
69,1,0.639293961,0.923068485,0.79801745,0.727515246,0.780620005,0.578212165,0.957567425,0.981158619,0.488337143,0.800862571,0.130980378,0.73051982,0.196374071,0.80314938,0.650669629,0.26406701,0.773039157,0.132016701,0.874546707,0.643126979,0.338526216
70,1,0.175301928,0.020544263,0.617460516,0.082745885,0.513947684,0.898776743,0.770759627,0.837779168,0.317807972,0.372338757,0.045266577,0.892193949,0.27322502,0.823445048,0.839405009,0.221891065,0.545166452,0.604104834,0.591324521,0.565376682,0.14418294
71,1,0.866886998,0.924000973,0.701454645,0.840561497,0.275240578,0.907880813,0.37347115,0.822858099,0.88034325,0.060309904,0.474755733,0.153872505,0.13636813,0.335970681,0.740446492,0.262104125,0.161462435,0.900221142,0.248511412,0.868425719,0.109148342
72,1,0.881523383,0.022173475,0.936502912,0.240682003,0.495293677,0.840908084,0.367296623,0.746445041,0.347847595,0.993944326,0.578442078,0.485154394,0.179284154,0.438115865,0.52147615,0.106744676,0.884556227,0.467309111,0.481794839,0.780583643,0.402155587
73,1,0.169591877,0.14470119,0.187893553,0.503664057,0.230454041,0.877142178,0.237310023,0.646033146,0.423808218,0.347777927,0.27758568,0.671644033,0.616042103,0.342737616,0.276612311,0.378160748,0.08476932,0.000769214,0.485302027,0.458298907,0.322954061
74,1,0.503078901,0.893500125,0.913454346,0.162668195,0.65589007,0.878086734,0.744158164,0.134007418,0.367529158,0.582769803,0.679618294,0.344979134,0.545685251,0.175106761,0.932883689,0.42367561,0.283544015,0.38301788,0.853508783,0.009389249,0.596436114
75,1,0.296383089,0.970019278,0.679486674,0.995097759,0.916840149,0.401939901,0.397212483,0.500942781,0.977362534,0.138135269,0.781967252,0.789455025,0.798382048,0.792818604,0.11263063,0.495911444,0.102855094,0.458877928,0.69637572,0.298587201,0.397873185
76,1,0.229656098,0.523678945,0.820165979,0.93466904,0.428615062,0.644945822,0.490040352,0.182059418,0.950014001,0.913945751,0.195954029,0.993609839,0.480603793,0.120773085,0.13462504,0.607074827,0.54463195,0.38784198,0.852203388,0.746736548,0.7255774
77,1,0.557383765,0.886365599,0.277478448,0.781840135,0.822582371,0.84062574,0.317665451,0.769520642,0.002218866,0.181198386,0.503174637,0.669933548,0.20503927,0.608232808,0.617819752,0.009925221,0.857944884,0.8120273,0.587905989,0.060967166,0.718970385
78,1,0.757330677,0.431175515,0.652941016,0.268855729,0.006865275,0.420416429,0.489300006,0.018680557,0.284533117,0.673083343,0.87179727,0.932511356,0.269981706,0.073315174,0.583607288,0.03046488,0.722276745,0.446595872,0.240611968,0.366652923,0.71479353
79,1,0.888380766,0.015623885,0.473196158,0.100601252,0.938708739,0.959835316,0.685782481,0.817596443,0.461368902,0.705234549,0.364550856,0.471695107,0.380308972,0.93876626,0.278296358,0.941792998,0.769344819,0.792958277,0.597275351,0.875882896,0.488512891
80,1,0.954545122,0.221244076,0.569221923,0.48856627,0.091101116,0.021763178,0.13370405,0.564439826,0.685173311,0.607491405,0.077856466,0.366875655,0.79629015,0.651546142,0.364726664,0.322951438,0.37547569,0.988502557,0.563084976,0.218670249,0.001496797
81,1,0.644955817,0.876474604,0.150017499,0.112820993,0.064715231,0.143850911,0.254517987,0.836098588,0.589101453,0.757926613,0.619133179,0.634345598,0.423573261,0.410463729,0.450326706,0.124319688,0.870642144,0.741877577,0.317399353,0.064404108,0.975330977
82,1,0.16214626,0.685382729,0.490726759,0.006429312,0.568304346,0.673466463,0.980000127,0.581872753,0.10078859,0.37926838,0.343015374,0.260818072,0.57026522,0.154499818,0.100740361,0.064836078,0.063466707,0.745193207,0.632019539,0.129358639,0.116910613
83,1,0.396995175,0.487990341,0.566935863,0.165844625,0.693476623,0.055468587,0.253909429,0.093798134,0.415078916,0.775664763,0.596882301,0.091421644,0.343762311,0.568250197,0.255436052,0.707413603,0.457929664,0.151331781,0.836185679,0.759204858,0.745390149
84,1,0.654654249,0.463560303,0.431007469,0.454879753,0.934919368,0.083224433,0.316748458,0.664122529,0.579722755,0.902278008,0.966996102,0.811973763,0.274244198,0.989431503,0.488319532,0.613048716,0.364157869,0.928963406,0.974987513,0.143859276,0.841506538
85,1,0.301543009,0.538088713,0.10879284,0.522700035,0.530216938,0.003448855,0.179290239,0.025054414,0.085589162,0.578251473,0.046936386,0.013954199,0.42389191,0.254517294,0.374665714,0.123871465,0.546706444,0.618996454,0.455417835,0.182784566,0.433023439
86,1,0.692694239,0.207727716,0.286246732,0.384390618,0.993542739,0.898506623,0.925019143,0.388041542,0.019977254,0.770516321,0.180076488,0.30008204,0.465349528,0.528202247,0.390156654,0.454455056,0.957603513,0.252404136,0.828729083,0.799441314,0.644545625
87,1,0.163535723,0.189505647,0.109491226,0.838855122,0.690967575,0.193354747,0.388870074,0.167162765,0.979439067,0.737569672,0.116187559,0.716654773,0.027274147,0.822334253,0.387703058,0.932847723,0.858441128,0.163173761,0.845860437,0.102077999,0.802161896
88,1,0.943166255,0.415079063,0.961024481,0.386357443,0.784682248,0.89751389,0.840396686,0.199400665,0.019411849,0.261855197,0.766408494,0.691880495,0.998740839,0.867258855,0.336044725,0.466168902,0.152860293,0.339800357,0.731187596,0.816611111,0.88199143
89,1,0.791248127,0.347206737,0.073085135,0.392265467,0.278834252,0.205603283,0.325207636,0.746107734,0.804445971,0.577522225,0.222917049,0.021371693,0.177124518,0.352986287,0.80455127,0.5729589,0.185591678,0.766922157,0.731277669,0.244311881,0.680803803
90,1,0.385436855,0.481569053,0.539104452,0.694575609,0.584509599,0.529329305,0.376421602,0.331372981,0.187636446,0.042262906,0.035439907,0.6315353,0.506031068,0.534921811,0.513850739,0.078054279,0.205965047,0.968356606,0.507619491,0.37809208,0.766566172
91,1,0.548761857,0.748214067,0.704175794,0.675956774,0.608153189,0.316277552,0.875167044,0.286969205,0.505103684,0.957383404,0.955124052,0.057109035,0.183095371,0.97626317,0.295197454,0.003009967,0.897554753,0.058474496,0.52448883,0.876138574,0.518812486
92,1,0.115482917,0.022760646,0.683001454,0.508977486,0.144972104,0.309768068,0.37581266,0.403615736,0.65618612,0.647816674,0.659059435,0.578329495,0.496946272,0.743226317,0.144042898,0.101142793,0.23455523,0.061501633,0.18819937,0.488777349,0.764439636
93,1,0.948973854,0.089520733,0.401401539,0.644281719,0.815708868,0.476297721,0.701319621,0.315771831,0.804933942,0.584600633,0.014077042,0.392087908,0.500757058,0.539199214,0.279256754,0.872251941,0.023952443,0.451495139,0.051000649,0.60888241,0.82071554
94,1,0.272361424,0.953247201,0.608579233,0.585667683,0.684383707,0.946203097,0.137503915,0.847829378,0.13560979,0.454613482,0.767403434,0.455098737,0.284096061,0.834986471,0.161426802,0.689970974,0.349463198,0.88584421,0.613375428,0.724780833,0.541511249
95,1,0.08164059,0.443503669,0.923820367,0.941483618,0.641352986,0.491067238,0.677148084,0.21075119,0.9321635,0.330495276,0.172752385,0.382214303,0.546241829,0.870844127,0.784911938,0.510917891,0.553498894,0.063043404,0.519901234,0.573476994,0.372288332
96,1,0.724090833,0.196942629,0.147708671,0.150663414,0.90560897,0.591986177,0.008440818,0.523911627,0.680463512,0.764402924,0.280353891,0.174420136,0.840898571,0.688938433,0.762974439,0.630680249,0.940304799,0.13058436,0.382117997,0.406605195,0.61083324
97,1,0.863863235,0.539574804,0.603080498,0.496442058,0.552582486,0.757787604,0.654596099,0.29569262,0.217265808,0.594747222,0.176943912,0.478906322,0.083551013,0.453664658,0.7775316,0.242799059,0.217314541,0.075335564,0.301324661,0.549963771,0.960270199
98,1,0.485028202,0.749291179,0.087354849,0.397792279,0.573932982,0.271372369,0.905615312,0.884714574,0.254731395,0.595593286,0.428349699,0.195207997,0.898492959,0.114694958,0.673003084,0.509549771,0.260023642,0.093794807,0.127021973,0.567230614,0.110790697
99,1,0.141535314,0.217761853,0.316235294,0.847834446,0.068688259,0.841828115,0.427982821,0.607369313,0.765873197,0.526653204,0.136343453,0.57808362,0.15446219,0.989549494,0.027627881,0.171266057,0.590847017,0.368932161,0.138783256,0.700675446,0.229850429
100,1,0.246142176,0.825331069,0.450318682,0.88261376,0.037708009,0.479586327,0.531456333,0.84178942,0.30543719,0.634428205,0.944932457,0.472782138,0.703067274,0.891864654,0.196070933,0.580577641,0.591133953,0.032717227,0.15465553,0.445799446,0.712182993
